epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.243,2.05172,12.3187,2.01129,0.00017,0.33398,0.00267,0.00159,0.81362,80.5093,0.78675,0.000369187,0.000369187,0.000369187
2,531.215,2.45879,10.6299,2.34684,0.60008,0.005,6e-05,1e-05,1.02053,197.269,1.26496,0.000724878,0.000724878,0.000724878
3,773.722,2.57695,7.90759,2.4392,0.00023,0.02241,0.00013,2e-05,0.93076,20.2052,0.92425,0.0010659,0.0010659,0.0010659
4,995.433,2.65731,5.95068,2.57869,0.00024,0.047,0.00367,0.00075,0.97579,16.8509,0.98549,0.00104501,0.00104501,0.00104501
5,1195.62,2.61712,5.46254,2.63766,0.00056,0.012,0.00034,7e-05,0.90954,8.81967,0.91588,0.00102301,0.00102301,0.00102301
6,1407.53,2.5908,5.36699,2.62029,0.00019,0.04841,0.00324,0.00145,0.91674,9.21514,0.94114,0.00100101,0.00100101,0.00100101
7,1618.62,2.42866,5.14721,2.47751,0.0004,0.00755,0.00031,9e-05,0.87009,5.85492,0.88258,0.000979013,0.000979013,0.000979013
8,1872.21,2.4577,5.06287,2.4698,0.00087,0.26381,0.00453,0.00163,0.84599,10.4097,0.85658,0.000957015,0.000957015,0.000957015
9,2094.8,2.27968,4.91152,2.31946,0.00109,0.19282,0.00536,0.00272,0.82577,6.26863,0.86192,0.000935018,0.000935018,0.000935018
10,2310.5,2.36084,4.86955,2.41873,0.01202,0.18693,0.01638,0.00644,0.80869,4.36688,0.82928,0.00091302,0.00091302,0.00091302
11,2531.09,2.28653,4.74125,2.31341,0.81667,0.004,0.00839,0.00294,0.83699,5.15285,0.83366,0.000891022,0.000891022,0.000891022
12,2753.31,2.17591,4.69659,2.26169,0.63277,0.016,0.01714,0.00699,0.82415,4.68024,0.8379,0.000869024,0.000869024,0.000869024
13,3003.93,2.27477,4.72811,2.29124,0.42984,0.029,0.0094,0.00365,0.79131,7.07594,0.82263,0.000847026,0.000847026,0.000847026
14,3306.27,2.23492,4.65993,2.26867,0.48336,0.02,0.01856,0.00699,0.78876,10.2085,0.79433,0.000825029,0.000825029,0.000825029
15,3535.88,2.17767,4.46657,2.20923,0.46173,0.025,0.02846,0.00841,0.76547,4.91004,0.77504,0.000803031,0.000803031,0.000803031
16,3845.68,2.19376,4.45284,2.19327,0.44174,0.038,0.01878,0.00582,0.78396,13.9903,0.7765,0.000781033,0.000781033,0.000781033
17,4093.82,2.10517,4.37471,2.13574,0.49139,0.04324,0.02988,0.01063,0.75499,6.76052,0.73952,0.000759035,0.000759035,0.000759035
18,4403.74,2.09315,4.26716,2.13523,0.46934,0.03841,0.03198,0.01333,0.74304,5.65795,0.73698,0.000737037,0.000737037,0.000737037
19,4644.89,2.03918,4.28068,2.0549,0.48271,0.025,0.03921,0.01361,0.77857,6.32304,0.7971,0.00071504,0.00071504,0.00071504
20,4875.97,2.03722,4.28776,2.09403,0.50057,0.02978,0.04668,0.02007,0.71645,3.40716,0.71499,0.000693042,0.000693042,0.000693042
21,5097.53,1.98129,4.02044,1.99229,0.49488,0.06241,0.04902,0.02254,0.73438,3.37943,0.72574,0.000671044,0.000671044,0.000671044
22,5317.91,1.96597,3.966,1.98315,0.5188,0.0907,0.06657,0.02399,0.71388,2.73487,0.68868,0.000649046,0.000649046,0.000649046
23,5548.11,2.01681,4.11709,2.0353,0.53113,0.095,0.08114,0.03371,0.68995,4.7433,0.69512,0.000627048,0.000627048,0.000627048
24,5777,1.90679,3.93951,1.93707,0.38498,0.09525,0.0802,0.03611,0.68791,3.84384,0.67562,0.000605051,0.000605051,0.000605051
25,6000.28,1.97858,3.87099,1.99071,0.48185,0.0627,0.0771,0.03788,0.67119,2.41807,0.65822,0.000583053,0.000583053,0.000583053
26,6230.03,1.92607,3.7696,1.90191,0.27253,0.11522,0.07146,0.03505,0.66388,4.14954,0.66447,0.000561055,0.000561055,0.000561055
27,6459.62,1.90916,3.78351,1.91251,0.27737,0.11551,0.06645,0.03062,0.67894,4.18245,0.65927,0.000539057,0.000539057,0.000539057
28,6689.65,1.8894,3.72012,1.91835,0.29474,0.14652,0.0862,0.03577,0.68479,2.67904,0.6732,0.000517059,0.000517059,0.000517059
29,6917.54,1.92192,3.59552,1.90854,0.25322,0.2002,0.08726,0.03757,0.66043,2.9457,0.64881,0.000495062,0.000495062,0.000495062
